Etho_trial,Trial,Shelter,Order,Date,Animal_ID,Trap_ID,Mass,Sex,Dev_stage,Recap._no,Trials,Tagger,Observer,Weather,Temperature,Notes,Distance_moved,Mean_dist_AP,Total_dist_AP,Time_arena,TimeEdge1,TimeEdge2,TimeEdge3,TimeEdge4,TimeEdge5,TimeEdge6,TimeEdge7,TimeEdge8,TimeEdge9,TimeEdge10,TimeEdge11,TimeEdge12,TimeEdge13,TimeEdge14,TimeEdge15,TimeEdge16,TimeEdge17,TimeEdge18,TimeEdge19,TimeEdge20,TimeOuter1,TimeOuter2,TimeOuter3,TimeOuter4,TimeOuter5,TimeOuter6,TimeOuter7,TimeOuter8,TimeOuter9,TimeOuter10,TimeOuter11,TimeOuter12,TimeCenter1,TimeCenter2,TimeCenter3,TimeCenter4,SquaresEntered,TimeEdge,TimeOuter,TimeCenter,TimeNear,TimeFar,TimeShelter,Lat_Shelter,Lat_Entry,TimeMove,TimeStill,Velocity
Trial     1,OF,No,1,6.19.17,6,5.2,32.5,M,A,2,3,Monica,Monica,sunny,-,,1010.72,22.35,59936.8,180.11,0,2,4,2,2,1,2,1,2,2,4,10,7,1,0,0,2,2,1,2,5,6,2,2,1,5,10,12,3,1,0,1,2,5,8,2,32,137.001,34.7006,8.40823,105.303,74.8066,-,-,-,61.26,118.783,5.68971
Trial     2,OF,No,2,6.19.17,10,5.3,36,F,A,1,3,Monica,Monica,sunny,-,Pregnant? ,463.689,15.3315,41165.1,180.11,2,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,180.11,-,-,150.614,29.4955,-,-,-,43.9097,136.133,2.60245
Trial     3,OF,No,3,6.19.17,4,5.6,36.5,F,A,2,3,Monica,Monica,sunny,-,,198.049,24.6336,66239.8,180.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,180.11,-,-,180.11,-,-,-,-,23.2227,156.82,1.10823
Trial     4,OF,No,4,6.19.17,11,5.9,27,F,A,1,2,Monica,Monica,sunny,-,escaped after agg trial,2488.75,27.4367,73695,180.11,10,12,12,13,10,9,7,6,8,9,7,6,7,5,9,6,9,9,9,9,3,4,6,3,1,4,4,3,4,10,7,4,3,0,3,3,35,147.945,19.8194,9.14228,88.6868,88.2197,-,-,-,123.654,56.3218,13.9576
Trial     5,OF,No,5,6.19.17,3,7.1,41.5,F,A,3,1,Monica,Monica,sunny,-,escaped after OF trial,2367.36,45.9416,123721,180.11,0,1,1,3,8,4,4,3,3,6,3,3,1,0,2,2,1,1,0,1,1,1,2,7,3,4,8,1,2,2,2,2,3,2,2,3,33,28.3611,9.54268,2.06869,9.60941,30.3631,-,-,-,124.522,55.521,13.2076
Trial     6,OF,No,6,6.19.17,7,8.2,24,M,J,2,1,Monica,Monica,sunny,-,escaped after OF trial,2168.03,35.3969,94969.9,179.643,6,9,9,11,10,12,8,2,1,3,2,4,5,2,4,3,4,7,5,6,8,5,1,5,2,3,4,3,2,4,5,3,0,2,1,0,34,53.4523,13.6801,0.467124,32.8989,34.7006,-,-,-,109.24,70.2688,12.1453
Trial     7,OF,No,7,6.19.17,8,8.3,33,M,A,2,3,Monica,Monica,sunny,-,Double check which ear tag is on what ear,791.846,43.9294,118302,180.11,0,0,0,0,0,0,0,0,0,2,6,9,4,3,4,5,3,2,1,0,0,0,0,0,0,4,4,1,0,1,1,0,0,0,4,1,17,154.551,14.0805,10.944,52.3846,127.191,-,-,-,70.6692,109.374,4.41774
Trial     8,OF,No,8,6.19.17,1,9.3,29,M,A,3,2,Monica,Monica,sunny,-,escaped after agg trial,2029.28,16.1549,43408.1,180.11,8,2,1,1,5,5,15,7,5,1,2,3,3,5,6,5,4,2,2,2,2,2,1,1,1,2,0,0,0,1,1,1,0,0,0,0,29,172.235,4.47104,-,144.675,32.0314,-,-,-,79.9449,99.9645,11.368
Trial     9,OF,No,9,6.19.17,12,9.4,28,M,J,1,3,Monica,Monica,sunny,-,,11.1171,21.0702,56868.4,180.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0.400392,179.643,0.0617467
-,OF,No,10,6.19.17,2,9.5,30,F,A,3,3,Monica,Monica,sunny,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trial    10,AGG,No,1,6.19.17,6,5.2,32.5,M,A,2,3,Monica,Monica,sunny,-,,2693.63,36.6691,95266.4,175.572,4,5,4,2,2,1,2,4,6,9,17,13,7,7,14,10,11,6,5,6,5,6,4,4,5,4,3,0,3,17,5,4,4,5,1,2,35,135.266,30.8969,6.8734,74.94,98.096,-,-,-,117.515,57.6564,15.6818
Trial    11,AGG,No,2,6.19.17,10,5.3,36,F,A,1,3,Monica,Monica,sunny,-,Pregnant? ,1133.83,43.7875,117526,180.11,5,7,3,2,4,4,3,2,2,2,11,3,3,4,5,1,0,0,0,0,2,2,2,2,1,2,0,0,1,1,0,0,0,1,1,0,26,173.236,4.87144,0.400392,30.4965,148.012,-,-,-,52.2512,127.792,6.36836
